x_coord,y_coord
255,0
254,1
253,2
252,3
252,4
252,5
251,6
250,7
249,8
248,9
248,10
247,11
246,12
245,13
244,14
243,15
242,16
241,17
240,18
240,19
239,20
238,21
238,22
237,23
236,24
235,25
234,26
233,27
232,28
231,29
231,30
231,31
231,32
231,33
231,34
231,35
232,36
233,37
234,38
235,39
235,40
236,41
237,42
238,43
238,44
239,45
238,46
239,47
240,48
241,49
242,50
243,51
242,52
243,53
242,54
241,55
240,56
241,57
240,58
239,59
240,60
239,61
240,62
239,63
240,64
239,65
238,66
239,67
240,68
239,69
240,70
239,71
238,72
237,73
236,74
235,75
234,76
233,77
232,78
231,79
230,80
229,81
228,82
227,83
226,84
225,85
224,86
223,87
222,88
221,89
222,90
223,91
224,92
225,93
226,94
227,95
228,96
229,97
228,98
229,99
228,100
227,101
228,102
227,103
228,104
227,105
228,106
227,107
228,108
229,109
228,110
229,111
230,112
231,113
232,114
233,115
234,116
233,117
234,118
233,119
232,120
231,121
230,122
229,123
228,124
227,125
226,126
225,127
224,128
223,129
222,130
221,131
220,132
219,133
218,134
217,135
216,136
215,137
214,138
213,139
212,140
211,141
210,142
209,143
208,144
207,145
206,146
205,147
204,148
203,149
202,150
201,151
200,152
199,153
198,154
198,155
198,156
197,157
196,158
195,159
194,160
193,161
192,162
191,163
190,164
190,165
190,166
189,167
188,168
187,169
187,170
186,171
185,172
185,173
185,174
184,175
183,176
183,177
182,178
181,179
180,180
180,181
180,182
180,183
180,184
180,185
180,186
180,187
179,188
179,189
179,190
179,191
179,192
179,193
179,194
179,195
179,196
179,197
179,198
179,199
179,200
179,201
179,202
178,203
177,204
176,205
176,206
176,207
175,208
175,209
175,210
175,211
175,212
175,213
175,214
175,215
175,216
175,217
175,218
175,219
175,220
175,221
175,222
175,223
175,224
175,225
174,226
174,227
174,228
174,229
173,230
173,231
173,232
172,233
171,234
170,235
169,236
168,237
168,238
168,239
168,240
168,241
168,242
168,243
167,244
167,245
167,246
166,247
166,248
165,249
164,250
163,251
162,252
161,253
160,254
159,255
159,256
158,257
158,258
157,259
156,260
155,261
155,262
154,263
154,264
154,265
154,266
154,267
154,268
154,269
154,270
154,271
155,272
155,273
155,274
156,275
157,276
158,277
158,278
159,279
159,280
160,281
160,282
161,283
161,284
161,285
161,286
161,287
161,288
162,289
162,290
163,291
164,292
163,293
162,294
162,295
162,296
162,297
161,298
160,299
160,300
160,301
160,302
160,303
160,304
160,305
159,306
159,307
159,308
159,309
159,310
159,311
159,312
160,313
160,314
160,315
160,316
160,317
160,318
160,319
160,320
160,321
160,322
160,323
160,324
159,325
158,326
157,327
157,328
157,329
157,330
157,331
157,332
157,333
157,334
157,335
157,336
157,337
157,338
157,339
157,340
157,341
157,342
157,343
157,344
157,345
157,346
157,347
157,348
157,349
157,350
157,351
157,352
157,353
157,354
157,355
157,356
157,357
157,358
157,359
157,360
157,361
157,362
157,363
157,364
157,365
157,366
157,367
157,368
157,369
157,370
157,371
157,372
157,373
158,374
158,375
159,376
159,377
159,378
159,379
159,380
159,381
159,382
159,383
159,384
159,385
159,386
159,387
159,388
159,389
159,390
158,391
158,392
158,393
158,394
157,395
156,396
156,397
156,398
156,399
156,400
156,401
156,402
156,403
156,404
156,405
156,406
156,407
157,408
157,409
157,410
157,411
157,412
158,413
158,414
158,415
158,416
158,417
158,418
158,419
158,420
158,421
159,422
159,423
160,424
160,425
160,426
160,427
161,428
161,429
161,430
161,431
161,432
161,433
162,434
163,435
164,436
165,437
166,438
167,439
168,440
169,441
170,442
171,443
172,444
172,445
172,446
173,447
174,448
175,449
176,450
177,451
178,452
179,453
180,454
181,455
182,456
183,457
183,458
184,459
185,460
186,461
186,462
186,463
186,464
186,465
186,466
186,467
186,468
187,469
187,470
187,471
187,472
187,473
187,474
188,475
189,476
190,477
190,478
190,479
190,480
189,481
189,482
189,483
189,484
189,485
189,486
189,487
190,488
190,489
190,490
190,491
190,492
190,493
190,494
190,495
190,496
190,497
190,498
190,499
190,500
190,501
190,502
191,503
191,504
191,505
191,506
191,507
192,508
192,509
192,510
192,511
192,512
192,513
193,514
194,515
195,516
195,517
196,518
197,519
197,520
197,521
197,522
197,523
198,524
198,525
198,526
197,527
197,528
197,529
197,530
196,531
197,532
198,533
199,534
200,535
199,536
198,537
197,538
196,539
195,540
195,541
195,542
195,543
196,544
197,545
198,546
198,547
199,548
200,549
200,550
199,551
199,552
200,553
200,554
200,555
200,556
200,557
